Tablo 1
Firma;Konum;Pozisyon;çalışma şekli;Tarih
Dünya Varlık Yönetim A.Ş.;Ankara;Yazılım Uzmanı;İş Yerinde;2024
ZİRVEDEKİ BEYİNLER;Antalya;Full-Stack .Net Kıdemli Yazılım Uzmanı;İş Yerinde;2024
SAN Tourism Software Group;Ankara;Delphı Yazılım Uzmanı;İş Yerinde;2023
Datateam Bilgi Teknolojileri Ltd. Şti.;İstanbul;Yazılım Uzmanı;İş Yerinde;2024
HOTİÇ AYAKKABI SAN.TİC.AŞ;İstanbul;Yazılım Uzmanı;İş Yerinde;2021
Horoz Lojistik Kargo Hizmetleri ve Tic. A.Ş.;İstanbul;Yazılım Uzmanı(Winforms);Hibrit;2021
Horoz Lojistik Kargo Hizmetleri ve Tic. A.Ş.;İstanbul;Yazılım Uzmanı(Web);Hibrit;2022
CARETTA YAZILIM VE DANIŞMANLIK HİZM.LTD.ŞTİ.;İzmir;Yazılım Uzmanı (.Net);Uzaktan / Remote;2024
Koton;Bursa;Yazılım Uzmanı;Hibrit;2022
G Teknoloji Bilişim San. ve Tic. A.Ş.;İstanbul;GTech Finansal Teknolojiler Akademisi;Uzaktan / Remote;2023
Altınyıldız Classics;İstanbul;Yazılım Uzmanı;İş Yerinde;2023
Özdilek Holding;İstanbul;Yapay Zeka Yazılım Uzmanı;İş Yerinde;2023
İçdaş Çelik Enerji Tersane ve Ulaşım San. A.Ş.;İstanbul;Yazılım Uzmanı;İş Yerinde;2021
Türkiye Finans Katılım Bankası;İstanbul;.Net Yazılım Uzmanı;Hibrit;2023
M.N.B.OTO KİRALAMA VE NAKLİYAT TİCARET ANONİM ŞİRKETİ;İstanbul;Yazılım Uzmanı;İş Yerinde;2023
DIGITURK;İstanbul;Content Protection Specialist;İş Yerinde;2024
DIGITURK;İstanbul;CRM Çözümleri Yazılım Uzmanı;İş Yerinde;2023
Sertrans Uluslararası Nakliyat ve Tic. A.Ş;Kocaeli;Yazılım Uzmanı;İş Yerinde;2021
MOBİLTEL İLETİŞİM HİZMETLERİ SAN. VE TİC. A.Ş.;İstanbul;Yazılım Uzmanı;İş Yerinde;2023
Başbuğ Holding;İstanbul;Yazılım Uzmanı;Hibrit;2022
Beta Kimya Sanayi ve Ticaret A.Ş.;Ankara;Yazılım Uzmanı;İş Yerinde;2022
Konyalı Saat;Kocaeli;Canias Senior Developer;İş Yerinde;2022
Koel Elektronik A.Ş.;İstanbul;Yazılım Uzmanı;İş Yerinde;2021
ÖNDER SÖKEN DYNOBİL OTO EKSPERTİZ;Aydın;Yazılım Uzmanı;İş Yerinde;2024
Tezcan Galvanizli Yapı Elemanları San. ve Tic. A.Ş;Ankara;Yazılım Uzmanı;İş Yerinde;2022
Neutec;İstanbul;Yazılım Uzmanı;İş Yerinde;2022
Kırlıoğlu Tarımsal Ürün. Gıda İnş. A.Ş.;Malatya;Yazılım Uzmanı;İş Yerinde;2023
Akçıl Group Bilgi Teknolojileri A.Ş;İstanbul;Yazılım Uzmanı;İş Yerinde;2022
BARSAN GLOBAL LOJİSTİK A.Ş.;İstanbul;Delphi Yazılım Uzmanı ( Şişli );İş Yerinde;2022
Adfacten Reklam Ajansı Ltd. Şti.;İstanbul;Yazılım Uzmanı;İş Yerinde;2024
Netlog Lojistik Hizmetleri A.Ş.;İstanbul;Yazılım Uzmanı;İş Yerinde;2022
BİLİN YAZILIM VE BİLİŞİM DANIŞMANLIĞI A.Ş.;İstanbul;Yazılım Uzmanı;Hibrit;2024
Aksigorta;İstanbul;Kıdemli Yazılım Mühendisi - Java;İş Yerinde;2022
Agito Bilgisayar Yazılım ve Danışmanlık Hizmetleri Anonim Şirketi;Ankara;Oracle PL/SQL Developer;Uzaktan / Remote;2023
Eresense Elektronik San. Tic. Ltd. Şti;İstanbul;Yazılım Uzmanı;İş Yerinde;2022
OPTİİM İŞ ÇÖZÜMLERİ A.Ş;İstanbul;Tecrübeli C# Yazılım Uzmanı;Uzaktan / Remote;2024
Sektöründe Öncü Firma;İstanbul;Yazılım Uzmanı / Kıdemli Uzmanı;Hibrit;2023
FİRMANET YAZILIM VE TEKNOLOJİ A.Ş.;İstanbul;Yazılım Uzmanı (ERP Modül Geliştirici);Uzaktan / Remote;2023
WeHire;İstanbul;DevOps Uzmanı;Hibrit;2024
DEVA Holding A.Ş.;İstanbul;SAP Uzmanı;İş Yerinde;2022
Hokka Bilişim;İstanbul;Junıor Full-Stack Developer;İş Yerinde;2023
Infonal Bilgi Teknolojileri A.Ş.;Kocaeli;Yeni Mezun Java Developer;Uzaktan / Remote;2023
BLUETECH TEKNOLOJİ SANAYİ VE DIŞ TİCARET LİMİTED ŞİRKETİ;İstanbul;Junior Yazılım Geliştirme Uzmanı;İş Yerinde;2022
Elnur Gayrimenkul ve Yazılım Ticaret Limited Şirketi;İstanbul;Yazılım Uzmanı;Uzaktan / Remote;2021
Agito Bilgisayar Yazılım ve Danışmanlık Hizmetleri Anonim Şirketi;İstanbul;ERP Software Developer;İş Yerinde;2024
Industrial Application Software;Ankara;Frontend Developer;İş Yerinde;2022
NTT Data Business Solutions Türkiye;İstanbul;Araç Geliştirme Yazılım Mühendisi;İş Yerinde;2022
ES KARİYER DANIŞMANLIK;Kocaeli;Yazılım Geliştirme Mühendisi;İş Yerinde;2023
TEI-Tusaş Motor Sanayii A.Ş.;İstanbul;Javascript Developer;İş Yerinde;2024
Federal-Mogul Powertrain Otomotiv A.Ş.;Ankara;Full-Stack Uygulama Geliştirici;Hibrit;2023
NOVACON BİLİŞİM DANIŞMANLIK VE DIŞ TİCARET LİMİTED ŞİRKETİ;Bursa;Full Stack Developer (Remote);Hibrit;2023
Lotec Teknoloji Ltd. Şti;Ankara;Yazılım Kıdemli Uzmanı;İş Yerinde;2024
CII Bilgi ve Danışmanlık Hizmetleri A.Ş.;Kayseri;Yazılım Geliştirme Mühendisi;Uzaktan / Remote;2022
Martur Automotive Seating Systems;İstanbul;Yazılım Geliştirme ve Veri Analisti Uzmanı;İş Yerinde;2023
MKV ULUSLARARASI DANIŞMANLIK EĞİTİM HİZMETLERİ VE TİCARET LİMİTED ŞİRKETİ;İstanbul;Yazılım Geliştirme Mühendisi;Hibrit;2021
ELDA HALI TEKSTİL SAN.TİC.A.Ş.;İstanbul;Yazılım Mühendisi (Front-End);İş Yerinde;2024
WİPELOT TEKNOLOJİ SANAYİ ANONİM ŞİRKETİ;İstanbul;.Net Yazılım Mühendisi;Hibrit;2021
Sabanci Üniversitesi;İstanbul;.Net Yazılım Uzmanı;Hibrit;2023
Pointo Teknoloji A.Ş.;İstanbul;Mid Level .Net Developer;Hibrit;2022
Turpak Elektromanyetik Yakıt İkmal Sis.Tic.A.Ş.;İstanbul;Senior .Net Developer;İş Yerinde;2023
Omuz Omuza Engelsiz İnsan Kaynakları;İstanbul;Java Yazılım Mühendisi;Uzaktan / Remote;2022
TEPRO MAKİNA VE OTOMASYON SİSTEMLERİ SAN.VE TİC.A.Ş.;Ankara;Yazılım Mühendisi;Hibrit;2021
Manpower;Bursa;Yazılım Mühendisi;Hibrit;2023
Mirsis Bilgi Teknolojileri A.Ş.;Konya;Yazılım Mühendisi;Hibrit;2021
CEYHOLDING;İstanbul;Yazılım Mühendisi;İş Yerinde;2022
GEMAK GIDA END.MAK.VE TİC.A.Ş.;Tekirdağ;Delivery Software Engineer;İş Yerinde;2024
WEHIRE HUMAN RESOURCES İNSAN KAYNAKLARI PERSONEL SEÇME YERLEŞTİRME EĞİTİM VE DANIŞMANLIK HİZM.A.Ş.;İstanbul;Yazılım Mühendisi (Front-End);İş Yerinde;2022
Sab Otomotiv Yedek Parça Metal Makina San.ve Tic.A.Ş.;Ankara;Yazılım Mühendisi;İş Yerinde;2021
CRONOM BİLİŞİM VE YAZILIM TEKNOLOJİLERİ SAN.VE TİC. LTD. ŞTİ.;Bursa;Software Engineer (C#/Wpf .Net Developer);Uzaktan / Remote;2021
Sompo Sigorta A.Ş.;Ankara;Yazılım Geliştirme Mühendisi;Hibrit;2024
Gökçağ Kumaşçılık San. ve Tic. A.Ş.;Antalya;Yazılım Mühendisi;İş Yerinde;2021
Laserisse;Ankara;Kıdemli Yazılım Uzmanı/Yazılım Uzmanı;İş Yerinde;2022
FABRİCATE MÜHENDİSLİK VE TEST SİSTEMLERİ;Düzce;Yazılım Mühendisi;İş Yerinde;2024
EKER SÜT ÜRÜNLERİ GIDA SANAYİ VE TİCARET A.Ş.;İstanbul;Yazılım Mühendisi;İş Yerinde;2023
SFS DANIŞMANLIK BİLGİ İŞLEM SAN.VE DIŞ TİCARET A.Ş;Ankara;Yazılım Mühendisi;Uzaktan / Remote;2022
PUSULA CUSTOMER EXPERIENCE İLETİŞİM ANONİM ŞİRKETİ;Ankara;Full Stack Developer;İş Yerinde;2024
Diana Turizm Otelcilik Tic. ve San. A.Ş.;İstanbul;Architecht Techtalent 2024;İş Yerinde;2023
EHSİM Elektronik Harp Sistemleri Müh. Tic. A.Ş.;Ankara;Yazılım Mühendisi (Angular);İş Yerinde;2024
Real Solutions Bilişim Teknolojileri San. Tic. A.Ş;İstanbul;Yazılım Mühendisi (Java);Hibrit;2022
ARCHİTECHT BİLİŞİM SİSTEMLERİ VE PAZARLAMA TİCARET ANONİM ŞİRKETİ;Ankara;Software Engineer – Java - Spring Boot;Hibrit;2023
Türkiye Noterler Birliği;Ankara;.Net Core Developer;İş Yerinde;2024
Türkiye Noterler Birliği;İstanbul;Gömülü Yazılım Mühendisi;İş Yerinde;2023
Rencons;Ankara;Senior Software Engineer (C#/Wpf);Uzaktan / Remote;2023
PTTEM TEKNOLOJİ VE ELEKTRONİK A.Ş.;Ankara;Senior Java Software Engineer;Hibrit;2023
MAREN ROBOTICS;Ankara;Kıdemli Yazılım Mühendisi;İş Yerinde;2021
ELEKON ENERJİ SİSTEMLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ;İstanbul;Kıdemli Yazılım Tasarım Mühendisi;İş Yerinde;2022
AVL Araştırma ve Mühendislik;İstanbul;Senior Software Engineer;İş Yerinde;2022
Sompo Sigorta A.Ş.;Kocaeli;Kıdemli Yazılım Mühendisi (Back-End);Hibrit;2021
BLUETECH TEKNOLOJİ SANAYİ VE DIŞ TİCARET LİMİTED ŞİRKETİ;İstanbul;Kıdemli Yazılım Mühendisi;İş Yerinde;2023
LİNKTERA BİLGİ TEKNOLOJİLERİ A.Ş.;Ankara;Senior Java Developer;Uzaktan / Remote;2023
OPTİMUS SOLUTİONS TEKNOLOJİ ÜRETİM SANAYİ TİCARET ANONİM ŞİRKETİ;İzmir;Kıdemli Yazılım Mühendisi;İş Yerinde;2024
ÜSTÜNOVA MÜHENDİSLİK VE ARAŞTIRMA GELİŞTİRME ANONİM ŞİRKETİ;İstanbul;Senior Full Stack Software Engineer;Hibrit;2023
Hİ7 YAZILIM BİLİŞİM LOJİSTİK AŞ;İzmir;Kıdemli Yazılım Mühendisi;Uzaktan / Remote;2021
ICS Turkey İnformatik Danışmanlık Çözümleri Ltd.;İstanbul;C# Software Engineer (M/F/D) - Senior;Hibrit;2022
NTT Data Business Solutions Türkiye;İstanbul;Senior Java Developer;Hibrit;2024
Doruk Yazılım Proje Danışmanlık;Bursa;Yazılım Geliştirme Uzmanı;Hibrit;2023
PUDO TAŞIMA TEKNOLOJİLERİ ANONİM ŞİRKETİ;İstanbul;Senior Software Developer;Hibrit;2022
AppTec Services GmbH;İstanbul;Full Stack Developer / IoT Yazılım Geliştirici;Uzaktan / Remote;2024
Horoz Lojistik Kargo Hizmetleri ve Tic. A.Ş.;İstanbul;Yazılım Yönetmeni(Winforms);Hibrit;2024
Karsan;İstanbul;E&E Araç Yazılım Mühendisliği Yöneticisi;İş Yerinde;2023
Koton;İstanbul;Kıdemli Yazılım Uzmanı;Hibrit;2021
CRONOM BİLİŞİM VE YAZILIM TEKNOLOJİLERİ SAN.VE TİC. LTD. ŞTİ.;İstanbul;Senior Software Developer;Hibrit;2022
Unico Sigorta A.Ş.;İstanbul;Yazılım Kıdemli Uzmanı;Hibrit;2022
Agito Bilgisayar Yazılım ve Danışmanlık Hizmetleri Anonim Şirketi;İzmir;Senior Frontend Developer;Uzaktan / Remote;2021
TECHNE BİLİŞİM VE TEKNOLOJİ HİZMETLERİ ANONİM ŞİRKETİ;İstanbul;Kıdemli Yazılım Uzmanı;Hibrit;2022
MUDO;İstanbul ;Kıdemli Yazılım Uzmanı;Hibrit;2024
IUC HAGED;İstanbul;Kıdemli Yazılım Uzmanı;İş Yerinde;2024
Acıbadem Sağlık Hizmetleri Tic. A.Ş.;İstanbul;Senior Developer;İş Yerinde;2021
Agito Bilgisayar Yazılım ve Danışmanlık Hizmetleri Anonim Şirketi;İstanbul;Yazılım Uzmanı/İzmir;İş Yerinde;2024
BİLİN YAZILIM VE BİLİŞİM DANIŞMANLIĞI A.Ş.;İstanbul;Yazılım Uzman Yardımcısı;Hibrit;2023
Porland Porselen San. Tic. A.Ş.;İstanbul;Dynamics Ax Yazılım Geliştirme Uzmanı;İş Yerinde;2024
Porland Porselen San. Tic. A.Ş.;İstanbul;Dynamics Ax Danışmanı - Yeni Mezun;İş Yerinde;2022
Porland Porselen San. Tic. A.Ş.;Antalya;Dynamics Ax Danışman;İş Yerinde;2021
VeriPark;İstanbul;Software Development Team Lead;Uzaktan / Remote;2022
Sampaş A.Ş.;İstanbul;Yazılım Stajyeri;İş Yerinde;2023
HangiKredi;Ankara;Technology Academy;Hibrit;2021
Mirsis Bilgi Teknolojileri A.Ş.;İstanbul;Yazılım Stajyeri;Uzaktan / Remote;2022
Türkiye Finans Katılım Bankası;İzmir;Yazılım Altyapı Geliştirme Kıdemli Yazılımcı;Hibrit;2023
Horoz Lojistik Kargo Hizmetleri ve Tic. A.Ş.;İstanbul;Yazılım Takım Lideri(Winforms);Hibrit;2022
ÜMİT AYDIN;İstanbul;Yazılım Takım Lideri;İş Yerinde;2021
Logo Yazılım San Ve Tic A.Ş.;İstanbul;Agile Coach;Hibrit;2023
Teknosa İç ve Dış Ticaret A.Ş.;İstanbul;Software Integration Lead;Hibrit;2021
SmartICT Bilişim A.Ş;İstanbul;Fullstack Developer (Java/Angular);İş Yerinde;2024
EREM TECH ENDÜSTRİYEL TESİSLER ANONİM ŞİRKETİ;İstanbul;Web Geliştirme Uzmanı;İş Yerinde;2021
Janoschka Baskı Silindirleri San. Tic. A.Ş.;Ankara;Full Stack Web Developer;Hibrit;2022
YEK TEKNOLOJİ PAZARLAMA A.Ş;İstanbul;Yazılım Geliştirici;İş Yerinde;2021
N2mobil Takip Sistemleri A.Ş;Ankara;Full Stack Web Developer;İş Yerinde;2022
SHAMS BİLGİ TEKNOLOJİLERİ ANONİM ŞİRKETİ;Ankara;Mid. Full Stack Engineer;Hibrit;2021
Timecom Bilgisayar Yazılım ve Basın Yayıncılık Hi;Ankara;Yazılım Destek Uzmanı;İş Yerinde;2023
Mtclinen tekstil;Denizli;Yazılım Destek Uzmanı;İş Yerinde;2023
Horoz Lojistik Kargo Hizmetleri ve Tic. A.Ş.;İstanbul;Yazılım Destek Uzmanı;Hibrit;2021
Proliz Yazılım;Ankara;Yazılım Destek Uzmanı;İş Yerinde;2021
ATG Hotels;Antalya;Yazılım Destek Uzmanı;İş Yerinde;2024
Memorial Sağlık Grubu;İstanbul;Medikal IT Uzmanı;Hibrit;2022
Ark He Yazılım Teknolojileri ve Turizm Danışmanlı;İstanbul;Yazılım Destek Uzmanı;İş Yerinde;2021
TEKPROSİS BİLGİSAYAR YAZILIM DANIŞMANLIK VE EĞİTİM HİZMETLERİ İÇ VE DIŞ TİCARET LİMİT;İstanbul;Yazılım Destek Uzmanı;İş Yerinde;2021
NTT Data Business Solutions;İstanbul;CX Ams Support Consultant;Hibrit;2021
CLEAN TEMİZLİK VE DANIŞMANLIK HİZMETLERİ A.Ş.;İstanbul;Yazılım Destek Uzmanı;İş Yerinde;2022
EVOSET Bilgisayar Teknolojileri ve Yazılım Hizmetleri LTD. ŞTİ.;İzmir;Yazılım Destek Uzmanı;İş Yerinde;2022
Industrial Application Software;İstanbul;Software Support Specialist;İş Yerinde;2021
Sektöründe Lider Firma;İstanbul;Yazılım Destek Uzmanı;Hibrit;2024
BİLİN YAZILIM VE BİLİŞİM DANIŞMANLIĞI A.Ş.;İstanbul;Yazılım Destek Uzmanı;Hibrit;2021
Anex Tour;Antalya;Yazılım Destek Uzmanı;İş Yerinde;2021
ProE Teknoloji;Ankara;Sistem Analisti (Dijital Ticaret);Hibrit;2024
Bizim Toptan Satış Mağazaları A.Ş.;İstanbul;Yazılım Destek Uzmanı;Hibrit;2021
Acıbadem Sağlık Hizmetleri Tic. A.Ş.;Ankara;Web Yazılım Uzmanı;İş Yerinde;2024
Polar Araştırma Teknoloji A.Ş.;Ankara;Full Stack E Commerce Web Developer;İş Yerinde;2021
peak tech ltd şti;Ankara;ASP.NET Web Yazılım Uzmanı;İş Yerinde;2024
Webimedya;İstanbul;Web Yazılım Uzmanı;İş Yerinde;2022
HEALTHBOOK SAĞLIK HİZMETLERİ ORGANİZASYON TURİZM TİCARET LİMİTED ŞİRKETİ;Antalya;Gömülü Sistem Yazılım Mühendisi;İş Yerinde;2021
Fotec Enerji Teknolojileri A.Ş;İstanbul;Uzman Gömülü Yazılım Mühendisi;İş Yerinde;2024
ATEL TEKNOLOJİ VE SAVUNMA SANAYİ A.Ş.;Ankara;Gömülü Yazılım Geliştirici;İş Yerinde;2022
DUALUS TEKN. ELEKT. EĞT. MÜH. ARAŞ. MAK. İLET. ENERJİ SAN. VE TİC.LTD. ŞTİ.;Ankara;Gömülü Yazılım Mühendisi;İş Yerinde;2023
Makel Elektrik Malzemeleri;İstanbul;Gömülü Yazılım Mühendisi;İş Yerinde;2022
INNOVATIC MÜHENDİSLİK A.Ş.;Ankara;Gömülü Yazılım Mühendisi;İş Yerinde;2021
BİLGİ ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ;İstanbul;Güç Elektroniği Gömülü Yazılım Mühendisi;İş Yerinde;2021
EnginSoft Turkey;Tekirdağ;Gömülü Yazılım Mühendisi;İş Yerinde;2023
Deka Elektronik San. ve Tic. A.Ş;İstanbul;Kıdemli Gömülü Yazılım Mühendisi;İş Yerinde;2022
BİRİKİM PİLLERİ BATARYA TEKNOLOJİLERİ ANONİM ŞİRKETİ;İstanbul;Gömülü Yazılım Mühendisi;İş Yerinde;2023
Bias Mühendislik;İstanbul;Gömülü Yazılım Mühendisi;İş Yerinde;2024
Eska Valve A.Ş;Sakarya;Uzman Gömülü Yazılım Mühendisi;İş Yerinde;2023
FEMSAN ELEKTRİK MOTORLARI SANAYİ VE TİCARET A.Ş.;İstanbul;Gömülü Yazılım Mühendisi;İş Yerinde;2024
Ante Grup Bilişim Ticaret A.Ş.;Ankara;Gömülü Yazılım Mühendisi;İş Yerinde;2021
SEKİZA SAVUNMA HAVACILIK VE UZAY TEK.İM.YAZ.TELEK.ARAŞ.GEL.SAN.VE TİC.A.Ş.;Ankara;Gömülü Yazılım Mühendisi;İş Yerinde;2021
DÖNMEZOĞLU İÇ VE DIŞ TİCARET YATIRIM A.Ş.;İstanbul ;Gömülü Yazılım Mühendisi;İş Yerinde;2022
Gizli Firma;İstanbul;Web Developer;İş Yerinde;2022
BİLİMEVİ EĞİTİM DANIŞMANLIK ANONİM ŞİRKETİ;İstanbul;Yazılım Destek Uzmanı;İş Yerinde;2024
Lignadecor Üretim ve Pazarlama A.Ş.;İstanbul;Yazılım Destek Elemanı;İş Yerinde;2021
HairMed;Antalya;Yazılım Destek Elemanı;İş Yerinde;2022
Atasay Kuyumculuk;İstanbul;Yazılım Destek Elemanı;İş Yerinde;2024
Lokman Hekim Sağlık Grubu;Ankara;Yazılım Destek Elemanı;İş Yerinde;2023
MUTLU CAN YAZILIM ANONİM ŞİRKETİ;İzmir;Yazılım Destek Elemanı;İş Yerinde;2022
Berk Ay Sağlık Hizmetleri A.Ş.;Konya;Yazılım Destek Elemanı;İş Yerinde;2022
AIFA GLOBAL BİLİŞİM HİZMETLERİ LİMİTED ŞİRKETİ;İstanbul;Bilgisayar Mühendisi;İş Yerinde;2023
KARACASU TEKSTİL TİCARET VE SAN.ANONİM ŞİRKETİ;Kahramanmaraş;Bilgisayar Mühendisi;İş Yerinde;2023
Acme Holding;İstanbul;Bilgisayar Mühendisi;İş Yerinde;2023
FİNEO DİJİTAL DÖNÜŞÜM ANONİM ŞİRKETİ;Sivas;Bilgisayar Mühendisi;İş Yerinde;2022
HAT İNDÜKSİYON ELEKTRİK ELEKTRONİK İTHALAT İHRACAT SAN. TİC. A.Ş.;Manisa;Bilgisayar Mühendisi;İş Yerinde;2021
Sistaş Sayısal İletişim San. ve Tic. A.Ş.;İstanbul;Yazılım ve Sistem Mühendisleri;İş Yerinde;2024
HAVANSOFT BİLİŞİM TEKNOLOJİLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ;İstanbul;Yazılım Destek Elemanı;İş Yerinde;2023
BOTANİK YAZILIM TİC. LTD. ŞTİ.;Adana;Yazılım Destek Elemanı;İş Yerinde;2023
BULUT İNTERNET YAZILIM LİMİTED ŞİRKETİ;Kocaeli;Linux Sistem Uzmanı;İş Yerinde;2024
SmartICT Bilişim A.Ş;Ankara;Kıdemli Frontend Geliştirici(Angular);İş Yerinde;2022
SmartICT Bilişim A.Ş;Ankara;Kıdemli Frontend Geliştirici (Angular/Uı);İş Yerinde;2023
EVMANN YÖNETİM HİZMETLERİ VE DANIŞMANLIK ANONİM ŞİRKETİ;İstanbul;Uygulama Geliştirme Yöneticisi;Hibrit;2022
SPECTRUM GİRİŞİMCİLİK YATIRIMCILIK YAZILIM DANIŞMANLIK A.Ş.;İstanbul;SAP ABAP Danışmanı;Hibrit;2021
MİA TEKNOLOJİ A.Ş.;Ankara;Sr. Mobil Developer - Flutter;İş Yerinde;2024
Faturamatik Elektr. Para ve Ödeme Kur. A.Ş.;İstanbul;Mobil Yazılım Uzmanı (Flutter);İş Yerinde;2022
Horoz Lojistik Kargo Hizmetleri ve Tic. A.Ş.;İstanbul;Mobil Yazılım Uzmanı;Hibrit;2021
Turkuvaz Medya Grubu;İstanbul;Mobil Yazılım Uzmanı;Hibrit;2023
İsgold Altın Rafinerisi A.Ş.;İstanbul;Frontend Yazılım Uzmanı (Flutter);İş Yerinde;2023
TEV - Türk Eğitim Vakfı;İstanbul;Mobile Developer (Flutter);İş Yerinde;2024
Teknosa İç ve Dış Ticaret A.Ş.;İstanbul;React Native Developer;Hibrit;2023
Minerva Yazılım;İstanbul;Sistem Geliştirme Uzmanı;İş Yerinde;2023
Gizli Firma;Ankara;Sistem Geliştirme ve Raporlama Uzmanı;İş Yerinde;2023
ROKO GAME TEKNOLOJİ ANONİM ŞİRKETİ;İstanbul;Oyun Yazılım Uzmanı;İş Yerinde;2024
Yücelen Grup;Ankara;Web Master;İş Yerinde;2024
ALİX AVİEN KOZMETİK SANAYİ TİCARET A.Ş.;İstanbul;Web Master;Hibrit;2024
Özata Grup Granit Ltd. Şti.;İstanbul;Web Master ve Sosyal Medya;İş Yerinde;2024
Gizli Firma;İstanbul;Web Master;İş Yerinde;2024
TÜPRAG METAL MADENCİLİK SANAYİ VE TİC.A.Ş.;İzmir;Bilgi Teknolojileri Mühendisi;İş Yerinde;2023
Ghafari;İstanbul;ICT + Security Design Engineer;Hibrit;2024
Bhs Makine ve Kağıt San.Tic.Ltd.Şti;Eskişehir;IT Engineer;İş Yerinde;2021
ES KARİYER DANIŞMANLIK;İstanbul;Firewall Güvenlik Duvarı Sistemleri Uzmanı;İş Yerinde;2024
ALBAYRAK HOLDİNG A.Ş.;İstanbul;Sistem Ağ ve Güvenlik Uzmanı;İş Yerinde;2023
Madame Coco;İstanbul;ERP Danışmanı – SAP B1;Hibrit;2021
Turpak Elektromanyetik Yakıt İkmal Sis.Tic.A.Ş.;İstanbul;ERP Danışmanı;İş Yerinde;2021
TETRAPORT TEKNOLOJİ ANONİM ŞİRKETİ;İstanbul;EDS Modül Danışmanı;İş Yerinde;2021
Veritas Tekstil Konfeksiyon Pazarlama Sanayi Tica;Denizli;ERP Consultants;İş Yerinde;2023
ERA Consulting Services;İstanbul;ERP Logistics Management Consultants;Hibrit;2023
ERA Consulting Services;İstanbul;ERP Danışmanı;Hibrit;2024
Ainos Bilgi Teknolojileri ve Danışmanlık A.Ş.;İstanbul;ERP Danışmanı;İş Yerinde;2022
ENTERERP YAZILIM TİCARET LİMİTED ŞİRKETİ;İstanbul;ERP Danışmanı;İş Yerinde;2024
Industrial Application Software;İstanbul (Tümü) +3 il daha;Canias Danışmanı;İş Yerinde;2024
Gizli Firma;İzmir;Web Tasarım Uzmanı;İş Yerinde;2024
VERTİSA ÇEVRE TEKNOLOJİLERİ İNŞ.REK.DAN.İTH.İHR.SAN. VE TİC.LTD.ŞTİ.;Ankara;Web Tasarım Uzmanı;İş Yerinde;2021
AdresGezgini A.Ş.;İzmir;Web Tasarım Uzmanı;İş Yerinde;2023
EMR FERMUAR SAN. VE TİC. A.Ş.;İstanbul;Web Tasarım Uzmanı;İş Yerinde;2023
Esteworld Plastik Cerrahi Sağlık Grubu;İstanbul;Web Tasarım Uzmanı;İş Yerinde;2024
AVRASYA ENSTİTÜSÜ ARAŞTIRMA VE GELİŞTİRME TİCARET LİMİTED ŞİRKETİ;Bursa;Web Tasarım Uzmanı;İş Yerinde;2023
HİDROMETA HİDROLİK SİSTEMLER VE MEKATRONİK TASARIM SAN.VE TİC.LTD.ŞTİ.;Bursa;Kıdemli SAP PP Danışmanı;İş Yerinde;2024
ESTEWORLD SAÇ EKİMİ VE PLASTİK CERRAHİ SAĞLIK GRUBU;İstanbul;Kıdemli SAP MM / EWM Danışmanı;İş Yerinde;2023
NGN Bilgi Teknolojileri Veri Merkezi Hizmetleri ve Danışmanlık A.Ş.;Tekirdağ;Product Owner;İş Yerinde;2021
Adecco;İstanbul;Teknoloji Operasyon Merkezi Operatörü Takım Lideri;İş Yerinde;2023
KAHRAMAN KONAKLAMA VE TURİZM TİCARET ANONİM ŞİRKETİ;Trabzon;Bilgi Teknolojileri Elemanı;İş Yerinde;2024
Qnb Sağlık Hayat ve Emeklilik A.Ş.;İstanbul;BT Bütçe ve Tedarikçi Yönetimi;Hibrit;2021
FARKLI YATIRIM İNŞAAT ANONİM ŞİRKETİ;İstanbul;İç Güvenlik Uzmanı;İş Yerinde;2024
Çetaş Otomotiv;İzmir;Sistem ve Network Uzman Yardımcısı-İzmir;İş Yerinde;2024
KALE BAĞLANTI TEKNOLOJİLERİ SAN.VE TİC.A.Ş.;İstanbul;Sistem ve Network Uzmanı;İş Yerinde;2024
NTT Data Business Solutions;İstanbul;Android Developer;Hibrit;2023
GREYDER;İstanbul;Sistem ve Network Uzmanı;İş Yerinde;2022
Koton;İstanbul;Android Yazılım Uzmanı;Hibrit;2024
AppTec Services GmbH;Erzurum;Android Geliştirici;Uzaktan / Remote;2024
DELTA-A SOFTWARE CENTER;İstanbul;Yazılım Test Uzmanı;İş Yerinde;2024
Austria Card Turkey Kart Operasyonları A.Ş.;İstanbul;IT Senior Specialist;İş Yerinde;2023
Smile Hair Clinic;İstanbul;IT Güvenlik Uzmanı;İş Yerinde;2021
BtPlus Bilişim Teknolojileri Tic. Ltd. Şti.;İstanbul;IT Sistem ve Ağ Destek Uzmanı;İş Yerinde;2022
Teleperformance Türkiye;Van;Bilgi Teknolojileri Stajyeri;İş Yerinde;2024
M Plus;İstanbul;Bilgi Teknolojileri \ IT Stajyeri Van;İş Yerinde;2023
Lila Kağıt San. ve Tic A.Ş.;İstanbul;Bilgi Teknolojileri Stajyeri;İş Yerinde;2024
